VideoFile,Name,Timestamp,Emotion
Rev_2/23-04-2019.mp4,Desconocido,141.0,happy
Rev_2/23-04-2019.mp4,pablo_iglesias,142.0,neutral
Rev_2/23-04-2019.mp4,Desconocido,142.0,neutral
Rev_2/23-04-2019.mp4,santiago_abascal,142.0,sad
Rev_2/23-04-2019.mp4,pablo_casado,142.0,happy
Rev_2/23-04-2019.mp4,Desconocido,142.0,surprise
Rev_2/23-04-2019.mp4,pablo_iglesias,143.0,sad
Rev_2/23-04-2019.mp4,Desconocido,143.0,neutral
Rev_2/23-04-2019.mp4,Desconocido,143.0,neutral
Rev_2/23-04-2019.mp4,Desconocido,143.0,sad
Rev_2/23-04-2019.mp4,Desconocido,144.0,neutral
Rev_2/23-04-2019.mp4,pablo_iglesias,144.0,neutral
Rev_2/23-04-2019.mp4,Desconocido,144.0,angry
Rev_2/23-04-2019.mp4,Desconocido,145.0,happy
Rev_2/23-04-2019.mp4,Desconocido,145.0,happy
Rev_2/23-04-2019.mp4,pablo_iglesias,145.0,neutral
Rev_2/23-04-2019.mp4,Desconocido,145.0,neutral
Rev_2/23-04-2019.mp4,pedro_sanchez,145.0,sad
Rev_2/23-04-2019.mp4,Desconocido,146.0,happy
Rev_2/23-04-2019.mp4,pablo_iglesias,146.0,neutral
Rev_2/23-04-2019.mp4,Desconocido,146.0,neutral
Rev_2/23-04-2019.mp4,Desconocido,146.0,sad
Rev_2/23-04-2019.mp4,pedro_sanchez,146.0,sad
Rev_2/23-04-2019.mp4,Desconocido,147.0,happy
Rev_2/23-04-2019.mp4,Desconocido,147.0,happy
Rev_2/23-04-2019.mp4,pablo_iglesias,147.0,happy
Rev_2/23-04-2019.mp4,Desconocido,147.0,neutral
Rev_2/23-04-2019.mp4,pedro_sanchez,147.0,angry
Rev_2/23-04-2019.mp4,pablo_iglesias,148.0,neutral
Rev_2/23-04-2019.mp4,Desconocido,148.0,happy
Rev_2/23-04-2019.mp4,Desconocido,148.0,happy
Rev_2/23-04-2019.mp4,pedro_sanchez,148.0,sad
Rev_2/23-04-2019.mp4,Desconocido,149.0,happy
Rev_2/23-04-2019.mp4,pedro_sanchez,149.0,neutral
Rev_2/23-04-2019.mp4,Desconocido,149.0,happy
Rev_2/23-04-2019.mp4,Desconocido,149.0,sad
Rev_2/23-04-2019.mp4,albert_rivera,150.0,neutral
Rev_2/23-04-2019.mp4,pablo_iglesias,150.0,neutral
Rev_2/23-04-2019.mp4,Desconocido,150.0,sad
Rev_2/23-04-2019.mp4,albert_rivera,151.0,neutral
Rev_2/23-04-2019.mp4,Desconocido,151.0,neutral
Rev_2/23-04-2019.mp4,santiago_abascal,151.0,sad
Rev_2/23-04-2019.mp4,pablo_iglesias,152.0,neutral
Rev_2/23-04-2019.mp4,albert_rivera,152.0,neutral
Rev_2/23-04-2019.mp4,Desconocido,152.0,sad
Rev_2/23-04-2019.mp4,albert_rivera,153.0,neutral
Rev_2/23-04-2019.mp4,pablo_iglesias,153.0,fear
Rev_2/23-04-2019.mp4,albert_rivera,154.0,neutral
Rev_2/23-04-2019.mp4,Desconocido,154.0,neutral
Rev_2/23-04-2019.mp4,pablo_iglesias,154.0,sad
Rev_2/23-04-2019.mp4,pablo_casado,155.0,neutral
Rev_2/23-04-2019.mp4,albert_rivera,155.0,fear
Rev_2/23-04-2019.mp4,albert_rivera,156.0,neutral
Rev_2/23-04-2019.mp4,Desconocido,156.0,sad
Rev_2/23-04-2019.mp4,Desconocido,157.0,sad
Rev_2/23-04-2019.mp4,albert_rivera,158.0,sad
Rev_2/23-04-2019.mp4,albert_rivera,159.0,neutral
Rev_2/23-04-2019.mp4,Desconocido,160.0,sad
Rev_2/23-04-2019.mp4,albert_rivera,161.0,sad
Rev_2/23-04-2019.mp4,Desconocido,162.0,neutral
Rev_2/23-04-2019.mp4,albert_rivera,162.0,angry
Rev_2/23-04-2019.mp4,Desconocido,164.0,happy
Rev_2/23-04-2019.mp4,Desconocido,167.0,angry
Rev_2/23-04-2019.mp4,Desconocido,168.0,sad
Rev_2/23-04-2019.mp4,alberto_feijoo,168.0,sad
Rev_2/23-04-2019.mp4,Desconocido,169.0,angry
Rev_2/23-04-2019.mp4,pablo_iglesias,169.0,happy
Rev_2/23-04-2019.mp4,Desconocido,170.0,sad
Rev_2/23-04-2019.mp4,Desconocido,170.0,sad
Rev_2/23-04-2019.mp4,Desconocido,171.0,happy
Rev_2/23-04-2019.mp4,Desconocido,172.0,neutral
Rev_2/23-04-2019.mp4,Desconocido,222.0,sad
Rev_2/23-04-2019.mp4,Desconocido,223.0,sad
Rev_2/23-04-2019.mp4,Desconocido,223.0,happy
Rev_2/23-04-2019.mp4,Desconocido,224.0,happy
Rev_2/23-04-2019.mp4,Desconocido,224.0,sad
Rev_2/23-04-2019.mp4,Desconocido,225.0,sad
Rev_2/23-04-2019.mp4,albert_rivera,225.0,sad
Rev_2/23-04-2019.mp4,Desconocido,226.0,neutral
Rev_2/23-04-2019.mp4,Desconocido,226.0,happy
Rev_2/23-04-2019.mp4,Desconocido,227.0,sad
Rev_2/23-04-2019.mp4,Desconocido,227.0,angry
Rev_2/23-04-2019.mp4,yolanda_diaz,236.0,happy
Rev_2/23-04-2019.mp4,Desconocido,236.0,neutral
Rev_2/23-04-2019.mp4,Desconocido,237.0,angry
Rev_2/23-04-2019.mp4,pablo_iglesias,237.0,angry
Rev_2/23-04-2019.mp4,santiago_abascal,238.0,neutral
Rev_2/23-04-2019.mp4,Desconocido,239.0,neutral
Rev_2/23-04-2019.mp4,Desconocido,244.0,happy
Rev_2/23-04-2019.mp4,Desconocido,244.0,neutral
Rev_2/23-04-2019.mp4,Desconocido,245.0,neutral
Rev_2/23-04-2019.mp4,Desconocido,245.0,neutral
Rev_2/23-04-2019.mp4,Desconocido,246.0,angry
Rev_2/23-04-2019.mp4,Desconocido,246.0,neutral
Rev_2/23-04-2019.mp4,Desconocido,247.0,neutral
Rev_2/23-04-2019.mp4,Desconocido,247.0,neutral
Rev_2/23-04-2019.mp4,pedro_sanchez,248.0,neutral
Rev_2/23-04-2019.mp4,pedro_sanchez,249.0,angry
Rev_2/23-04-2019.mp4,pedro_sanchez,250.0,angry
Rev_2/23-04-2019.mp4,Desconocido,251.0,neutral
Rev_2/23-04-2019.mp4,albert_rivera,252.0,angry
Rev_2/23-04-2019.mp4,Desconocido,252.0,angry
Rev_2/23-04-2019.mp4,pedro_sanchez,253.0,angry
Rev_2/23-04-2019.mp4,pedro_sanchez,254.0,angry
Rev_2/23-04-2019.mp4,pedro_sanchez,255.0,angry
Rev_2/23-04-2019.mp4,pedro_sanchez,256.0,angry
Rev_2/23-04-2019.mp4,Desconocido,257.0,angry
Rev_2/23-04-2019.mp4,Desconocido,257.0,sad
Rev_2/23-04-2019.mp4,albert_rivera,258.0,fear
Rev_2/23-04-2019.mp4,Desconocido,258.0,neutral
Rev_2/23-04-2019.mp4,pedro_sanchez,259.0,angry
